genre,danceability,energy,valence,tempo,acousticness,loudness,popularity
 afropop,0.549,0.254,0.541,81.484,0.962,-14.48,54.0
 album rock,0.4990857142857143,0.6534857142857143,0.6138057142857143,122.86314285714286,0.2752914285714286,-8.675457142857143,62.22857142857143
 alternative hip hop,0.48866666666666664,0.7863333333333333,0.7466666666666667,87.81400000000001,0.3176666666666667,-8.606333333333334,68.0
 alternative metal,0.4255,0.7686882352941177,0.45376470588235296,127.38285294117647,0.10901034382352941,-8.591529411764707,61.23529411764706
 alternative r&b,0.757,0.4375,0.581,107.876,0.2616,-10.0925,69.0
 alternative rock,0.46014406779661016,0.7698983050847458,0.48802627118644065,123.26810169491526,0.07559064406779661,-7.029237288135594,65.4322033898305
 ambient pop,0.224,0.139,0.213,111.316,0.961,-22.587,75.0
 anime score,0.524,0.345,0.771,106.621,0.489,-15.659,59.0
 anti-folk,0.654,0.611,0.786,85.387,0.0337,-10.45,69.0
 arkansas country,0.5325,0.56325,0.679,122.94800000000001,0.178975,-10.5905,62.25
 art pop,0.5078333333333334,0.662,0.5924166666666667,137.13025000000002,0.20400939166666665,-8.481166666666667,66.58333333333333
 art punk,0.738,0.7143636363636364,0.8580000000000001,120.53045454545455,0.10511272727272726,-8.91709090909091,61.0
 art rock,0.4871770833333333,0.509734375,0.4009052083333333,121.48513541666667,0.33435621875,-11.260937499999999,64.44791666666667
 athens indie,0.527,0.7459999999999999,0.6318571428571429,131.02828571428572,0.1817297142857143,-7.252857142857144,68.14285714285714
 atl trap,0.8965,0.5285000000000001,0.30933333333333335,124.57433333333334,0.06241166666666667,-6.863333333333333,75.16666666666667
 atlanta bass,0.5980000000000001,0.563,0.334,120.44,0.0421,-6.826499999999999,68.5
 austindie,0.693,0.528,0.91,145.176,0.0682,-10.854,60.0
 australian alternative rock,0.292,0.714,0.462,151.412,0.000658,-4.919,62.0
 australian dance,0.59,0.338,0.322,110.581,0.292,-13.101,71.0
 australian electropop,0.7060000000000001,0.7112,0.5582,123.94760000000001,0.2251,-5.2536000000000005,70.2
 australian indie,0.448,0.59,0.264,119.834,0.446,-4.359,69.0
 australian indie folk,0.4775,0.362,0.401,84.66550000000001,0.8885000000000001,-11.423,74.5
 australian pop,0.766,0.563,0.964,126.007,0.0263,-7.516,78.0
 australian psych,0.292,0.714,0.462,151.412,0.000658,-4.919,62.0
 australian rock,0.6256666666666667,0.7282222222222222,0.6596666666666667,127.05733333333335,0.07024555555555556,-7.016,64.44444444444444
 bachata dominicana,0.7969999999999999,0.6170909090909091,0.8416363636363635,133.4228181818182,0.29275454545454543,-8.60309090909091,74.27272727272727
 baltimore indie,0.45199999999999996,0.602,0.32166666666666666,122.86133333333333,0.4566666666666667,-9.465,71.66666666666667
 banda jalisciense,0.779,0.542,0.84,107.755,0.437,-8.784,67.0
 baroque pop,0.57925,0.392025,0.400125,130.951125,0.58055,-13.850125,66.125
 beatlesque,0.561625,0.627625,0.672,123.1945,0.34794875000000003,-8.8515,60.958333333333336
 bebop,0.387,0.0948,0.221,76.614,0.977,-21.094,60.0
 bedroom pop,0.683,0.468,0.47,117.095,0.87,-10.058,75.0
 bedroom r&b,0.573,0.497,0.2395,132.0455,0.492,-9.959499999999998,84.0
 bedroom soul,0.697,0.336,0.31,82.029,0.598,-10.395,74.0
 big band,0.34,0.144,0.0655,85.399,0.993,-16.383,60.0
 birmingham metal,0.39825,0.6718200000000001,0.4439,130.6769,0.16593251,-10.8399,60.2
 bitpop,0.713,0.868,0.641,119.98,0.00206,-6.644,69.0
 blues,0.5923333333333334,0.43916666666666665,0.6946666666666667,122.91083333333334,0.261948,-12.13,56.666666666666664
 blues rock,0.5678641975308641,0.5818024691358025,0.6534074074074074,117.58703703703702,0.30502144444444446,-11.059962962962963,61.0
 boston folk,0.516,0.322,0.261,148.005,0.473,-11.762,80.0
 boston metal,0.197,0.956,0.209,177.018,7.61e-05,-2.908,66.0
 boston rock,0.5955,0.5829000000000001,0.5699,109.82480000000001,0.044853699999999996,-12.0466,64.2
 boy band,0.7086666666666668,0.47500000000000003,0.8083333333333332,158.41233333333335,0.13512333333333335,-7.814333333333333,61.333333333333336
 braindance,0.48050000000000004,0.26365,0.18765,96.787,0.6675,-19.585,65.0
 brazilian classical,0.5246666666666667,0.24966666666666668,0.7073333333333333,136.93766666666667,0.818,-19.200333333333333,59.333333333333336
 brazilian jazz,0.5486000000000001,0.31579999999999997,0.5988,131.5094,0.8096,-16.7568,61.2
 brill building pop,0.49142857142857144,0.43142857142857144,0.66,94.94214285714285,0.3266428571428571,-12.481,61.142857142857146
 british blues,0.4778333333333334,0.6552222222222223,0.571388888888889,118.27011111111112,0.2488738888888889,-10.109611111111112,59.77777777777778
 british invasion,0.5447234042553192,0.6660212765957447,0.6003617021276596,123.2804255319149,0.3292726595744681,-8.188723404255319,61.702127659574465
 britpop,0.41314285714285715,0.8818571428571429,0.4575714285714286,157.4112857142857,0.079353,-4.7250000000000005,72.28571428571429
 brooklyn indie,0.42200000000000004,0.562,0.5105,149.10649999999998,0.368,-8.767,70.5
 bubblegrunge,0.627,0.536,0.591,129.9995,0.6015,-8.482,79.5
 bubblegum pop,0.5125384615384616,0.5602307692307693,0.6215384615384616,121.75561538461537,0.37264615384615385,-9.38676923076923,62.23076923076923
 california hardcore,0.358,0.804,0.625,91.842,0.0404,-8.534,56.0
 canadian contemporary country,0.604,0.3125,0.4625,105.306,0.8005,-13.316500000000001,71.5
 canadian contemporary r&b,0.609,0.692,0.454,116.959,0.0157,-2.958,85.0
 canadian electropop,0.6539999999999999,0.603,0.3595,161.007,0.09570000000000001,-7.791499999999999,65.5
 canadian indie,0.67,0.403,0.622,129.984,0.753,-10.623,68.0
 canadian metal,0.436,0.8463529411764705,0.5242941176470588,139.47535294117648,0.01572525882352941,-5.990941176470589,64.6470588235294
 canadian pop,0.6028170731707316,0.5725,0.38422560975609754,123.6059756097561,0.25176801219512196,-7.651036585365854,74.17073170731707
 canadian pop punk,0.44,0.9095,0.6515,169.447,0.00049,-5.3865,67.25
 canadian punk,0.4635,0.8573333333333334,0.5975,157.34349999999998,0.0050550000000000005,-5.325666666666667,68.0
 canadian rock,0.508888888888889,0.8521111111111112,0.5582592592592592,134.84403703703703,0.012431125925925926,-4.368814814814815,68.92592592592592
 canadian singer-songwriter,0.5320769230769231,0.5491538461538462,0.47576923076923083,117.9946923076923,0.2250346153846154,-10.609,66.07692307692308
 canadian trap,0.7066666666666667,0.5876666666666667,0.5043333333333334,110.78733333333332,0.1283,-8.969,76.66666666666667
 cancion melodica,0.46740000000000004,0.394,0.4138,120.6146,0.6234,-11.6676,67.6
 candy pop,0.5306666666666666,0.8426666666666667,0.634888888888889,144.88766666666666,0.04810776666666666,-5.295222222222222,68.0
 cantautor,0.47650000000000003,0.4615,0.38,110.8965,0.498,-7.9315,63.5
 celtic rock,0.38,0.346,0.358,117.916,0.648,-14.313,63.0
 chamber pop,0.4993076923076923,0.5116923076923077,0.5094615384615385,131.50253846153845,0.46882307692307695,-9.877538461538462,68.46153846153847
 chicago blues,0.745,0.436,0.771,114.216,0.597,-9.617,56.0
 chicago bop,0.7455,0.726,0.7965,145.1005,0.2659,-2.9805,75.0
 chicago drill,0.7747999999999999,0.6096,0.33540000000000003,138.029,0.0809568,-7.838800000000001,72.6
 chicago hardcore,0.377,0.9545,0.434,154.0995,0.001595,-3.459,71.5
 chicago indie,0.534,0.795,0.76,143.312,0.00037,-7.487,78.0
 chicago punk,0.377,0.9545,0.434,154.0995,0.001595,-3.459,71.5
 chicago rap,0.7555,0.6321666666666667,0.3695,127.51866666666666,0.074414,-7.1321666666666665,73.0
 children's folk,0.6954,0.23092000000000001,0.6688,126.2719,0.6789,-16.7147,56.7
 children's music,0.6903,0.29182,0.7248,135.4007,0.5947899999999999,-15.2972,57.9
 chilean rock,0.675,0.67,0.726,90.23,0.00565,-7.218,67.0
 christian alternative rock,0.47514285714285714,0.8867142857142857,0.4898571428571429,149.86885714285714,0.030374885714285715,-3.850285714285714,68.28571428571429
 christian indie,0.42,0.612,0.135,159.685,0.0917,-5.359,66.0
 christian music,0.44766666666666666,0.7898333333333333,0.4649833333333333,145.749,0.11666,-4.664166666666667,68.66666666666667
 christian rock,0.5168,0.9113999999999999,0.5336000000000001,133.8152,0.0188924,-2.9594,71.0
 classic canadian rock,0.5616111111111111,0.6241944444444445,0.66875,128.70327777777777,0.2075562777777778,-10.737972222222222,60.97222222222222
 classic city pop,0.631,0.644,0.861,103.376,0.341,-10.81,66.0
 classic country pop,0.5578333333333333,0.49933333333333335,0.6978333333333334,115.31558333333334,0.382325,-10.99675,59.666666666666664
 classic garage rock,0.5656153846153846,0.5069230769230769,0.6937692307692308,123.54338461538462,0.3702123076923077,-10.098384615384616,53.30769230769231
 classic girl group,0.656,0.6615,0.752,112.281,0.2915,-8.172,62.5
 classic oklahoma country,0.7785,0.6679999999999999,0.972,135.02100000000002,0.3845,-6.8614999999999995,65.0
 classic rock,0.5415800671892498,0.6221246360582308,0.6147955207166853,122.65961590145577,0.25008625004479285,-9.661548712206049,62.18924972004479
 classic soul,0.6243529411764707,0.5651999999999999,0.6837588235294119,111.97552941176471,0.4477,-10.543470588235294,59.588235294117645
 classic texas country,0.600111111111111,0.4071111111111111,0.6471111111111111,112.89277777777778,0.5403666666666667,-14.522666666666668,56.0
 classic uk pop,0.7010000000000001,0.5475,0.8925000000000001,91.363,0.6755,-11.107,65.0
 classical,0.336,0.06245,0.2565,103.8325,0.9450000000000001,-25.6705,61.0
 comic,0.831,0.735,0.97,122.979,0.00397,-6.254,71.0
 conscious hip hop,0.5733571428571428,0.7722142857142857,0.6292857142857143,112.6542857142857,0.09999714285714285,-6.795714285714285,67.57142857142857
 contemporary country,0.6184722222222222,0.6881388888888889,0.5870555555555556,121.858,0.24964872222222223,-6.57625,66.41666666666667
 contemporary post-bop,0.421,0.08,0.0546,122.044,0.903,-21.795,57.0
 contemporary r&b,0.7024054054054054,0.5632702702702703,0.6430270270270271,129.26648648648649,0.13421583783783783,-8.155297297297297,66.08108108108108
 cool jazz,0.421,0.08,0.0546,122.044,0.903,-21.795,57.0
 corrido,0.7223809523809523,0.5893809523809523,0.8632857142857143,126.13766666666668,0.3433428571428571,-6.901,66.0
 corridos clasicos,0.5685,0.520875,0.832375,141.73575,0.6048749999999999,-7.633,62.875
 corridos tumbados,0.6964,0.7252,0.5924,112.5174,0.28458,-5.6466,80.8
 cosmic american,0.596,0.53525,0.6673749999999999,118.01525,0.439125,-10.967,54.75
 country,0.6145179856115108,0.6198057553956835,0.6438294964028777,124.25749280575539,0.30662069424460436,-8.43060071942446,63.097122302158276
 country blues,0.745,0.436,0.771,114.216,0.597,-9.617,56.0
 country dawn,0.5724489795918367,0.5782448979591837,0.5508897959183674,126.46379591836734,0.40885918367346935,-7.842510204081633,63.12244897959184
 country gospel,0.620375,0.565625,0.561375,115.2225,0.22694999999999999,-8.06625,60.375
 country pop,0.6166,0.764,0.6678,118.19180000000001,0.13598,-4.9112,67.8
 country road,0.6146038647342995,0.6404251207729469,0.6201381642512077,123.1738309178744,0.26204456038647345,-7.948347826086956,62.91304347826087
 country rock,0.5986866197183098,0.5767640845070422,0.7133345070422534,122.0006514084507,0.3235163661971831,-10.951299295774648,58.79225352112676
 countrygaze,0.318,0.401,0.277,138.528,0.436,-11.944,74.0
 cowboy western,0.56,0.378,0.71,92.595,0.386,-11.007,56.0
 crossover thrash,0.358,0.804,0.625,91.842,0.0404,-8.534,56.0
 crunk,0.759,0.6288,0.46530000000000005,107.67,0.084317,-6.5741,64.7
 cumbia sonidera,0.6754,0.5317999999999999,0.8422000000000001,161.3972,0.15892,-9.109,69.0
 cyberpunk,0.5996666666666667,0.8373333333333334,0.5046666666666667,111.12166666666667,0.008651,-8.131666666666666,63.666666666666664
 dance pop,0.6970561797752809,0.711932584269663,0.6231011235955056,119.87319101123596,0.1403261,-5.721382022471911,71.80898876404494
 dance rock,0.6279814814814815,0.7917222222222222,0.6862037037037036,124.61203703703704,0.07509456296296296,-7.055722222222222,65.53703703703704
 dance-punk,0.6374000000000001,0.8152000000000001,0.6436,130.796,0.0074366,-4.5598,68.0
 dancehall,0.951,0.6,0.822,125.04,0.106,-4.675,78.0
 danish rock,0.309,0.919,0.322,103.89,0.00039,-3.131,70.0
 dark cabaret,0.596,0.679,0.746,110.464,0.18,-3.881,70.0
 dark pop,0.6046666666666667,0.5613333333333334,0.5453333333333333,116.84466666666667,0.30196666666666666,-9.273,67.66666666666667
 dark trap,0.797625,0.6310625,0.28034375,117.0705625,0.22474875,-6.9385,72.1875
 dc hardcore,0.473,0.423,0.35700000000000004,85.314,0.448365,-11.658999999999999,63.5
 death metal,0.2876666666666667,0.9936666666666666,0.055933333333333335,111.00966666666666,0.00021036666666666667,-4.17,62.333333333333336
 deep contemporary country,0.647,0.6,0.961,139.274,0.0684,-13.625,55.0
 deep soft rock,0.717,0.406,0.703,123.213,0.587,-13.954,61.0
